BC,UMBC Superholding
BCHOL,UMBC Holding
BL,UB Law Superholding
BLHOL,UB Law Holding
BS,Bowie State Superholding
BSHOL,Bowie State Holding
CE,UMCES Superholding
CEHOL,UMCES Holding
CP,UMCP Superholding
CPHOL,UMCP Holding
CS,Coppin State Superholding
CSHOL,Coppin State Holding
ES,UMES Superholding
ESHOL,UMESHolding
FS,Frostburg State Superholding
FSHOL,Frostburg State Holding
HS,HS/HSL Superholding
HSHOL,HS/HSL Holding
LN,Loyola Notre Dame Superholding
LNHOL,Loyola Notre Dame Holding
ML,UM Law Superholding
MLHOL,MU Law Holding
MS,Morgan State Superholding
MSHOL,Morgan State Holding
SM,SMCM Superholding
SMHOL,SMCM Holding
SS,Salisbury Superholding
SU,Salisbury Superholding
SUHOL,Salisbury Holding
TS,Towson Superholding
TU,Towson Superholding
TUHOL,Towson Holding
UB,University of Baltimore Superholding
UBHOL,University of Baltimore Holding
UC,UMUC Superholding
UCHOL,UMUC Holding
